CODMUNDV,NOMEMUN,X,Y
1712504,Marianópolis do Tocantins,-49.69989,-9.78764
1712702,Mateiros,-46.50121,-10.57617
1712801,Maurilândia do Tocantins,-47.58975,-6.02427
1713205,Miracema do Tocantins,-48.55138,-9.75403
1713304,Miranorte,-48.683040000000005,-9.41708
1713601,Monte do Carmo,-48.01726,-10.7484
1713700,Monte Santo do Tocantins,-49.067029999999995,-10.00065
1713957,Muricilândia,-48.787009999999995,-7.003889999999999
1714203,Natividade,-47.648959999999995,-11.79849
1714302,Nazaré,-47.78109,-6.33039
1714880,Nova Olinda,-48.36015,-7.6379399999999995
1715002,Nova Rosalândia,-48.97457,-10.549610000000001
1715101,Novo Acordo,-47.38316,-10.15558
1715150,Novo Alegre,-46.559870000000004,-12.91422
1715259,Novo Jardim,-46.550340000000006,-11.77122
1715507,Oliveira de Fátima,-48.87709,-10.67409
1721000,Palmas,-48.15376,-10.21848
1715705,Palmeirante,-48.15591,-7.886369999999999
1713809,Palmeiras do Tocantins,-47.64255,-6.5997699999999995
1715754,Palmeirópolis,-48.34884,-13.01954
1716109,Paraíso do Tocantins,-48.8262,-10.22109
1716208,Paranã,-47.81216,-12.69571
1716307,Pau D'Arco,-48.98803,-7.54559
1716505,Pedro Afonso,-48.03418,-9.227319999999999
1716604,Peixe,-48.55525,-11.9967
1716653,Pequizeiro,-48.91698,-8.37955
1717008,Pindorama do Tocantins,-47.55919,-11.15995
1717206,Piraquê,-48.24034,-6.738689999999999
1717503,Pium,-49.87265,-10.210280000000001
1717800,Ponte Alta do Bom Jesus,-46.579240000000006,-12.0524
1717909,Ponte Alta do Tocantins,-47.327890000000004,-10.75192
1718006,Porto Alegre do Tocantins,-47.04677,-11.51172
1718204,Porto Nacional,-48.49669,-10.54435
1718303,Praia Norte,-47.783559999999994,-5.47246
1718402,Presidente Kennedy,-48.46134,-8.46235
1718451,Pugmil,-48.88332,-10.42259
1718501,Recursolândia,-47.11307,-8.69727
1718550,Riachinho,-48.136179999999996,-6.46034
1718659,Rio da Conceição,-46.74825,-11.340710000000001
1718709,Rio dos Bois,-48.452,-9.23612
1718758,Rio Sono,-47.49625,-9.64781
1718808,Sampaio,-47.91881,-5.329619999999999
1718840,Sandolândia,-49.87617,-12.4021
1718865,Santa Fé do Araguaia,-48.97379,-7.09382
1718881,Santa Maria do Tocantins,-47.8483,-8.82444
1718899,Santa Rita do Tocantins,-49.29565,-10.97101
1718907,Santa Rosa do Tocantins,-48.10843,-11.39841
1719004,Santa Tereza do Tocantins,-47.74181,-10.29936
1720002,Santa Terezinha do Tocantins,-47.75033,-6.472180000000001
1720101,São Bento do Tocantins,-47.93958,-5.97487
1720150,São Félix do Tocantins,-46.67842,-10.0689
1720200,São Miguel do Tocantins,-47.59536,-5.542590000000001
1720259,São Salvador do Tocantins,-48.36517,-12.577960000000001
1720309,São Sebastião do Tocantins,-48.3319,-5.2406
1720499,São Valério,-48.17055,-11.8042
1720655,Silvanópolis,-48.007509999999996,-11.13212
1720804,Sítio Novo do Tocantins,-47.686440000000005,-5.6299
1720853,Sucupira,-48.83494,-12.11345
1720903,Taguatinga,-46.55579,-12.38706
1720937,Taipas do Tocantins,-46.99463,-12.14005
1720978,Talismã,-49.04834,-12.68297
1721109,Tocantínia,-48.14038,-9.60308
1721208,Tocantinópolis,-47.53758,-6.25715
1721257,Tupirama,-48.2594,-8.9383
1721307,Tupiratins,-48.2109,-8.356810000000001
1722081,Wanderlândia,-48.001909999999995,-6.91118
1722107,Xambioá,-48.45145,-6.54533
2100055,Açailândia,-47.33247,-4.7859300000000005
2100105,Afonso Cunha,-43.29743,-4.21479
2100154,Água Doce do Maranhão,-42.16636,-2.94697
2100204,Alcântara,-44.52819,-2.39085
2100303,Aldeias Altas,-43.38346,-4.50275
2100402,Altamira do Maranhão,-45.49481,-4.11965
2100436,Alto Alegre do Maranhão,-44.39355,-4.2093300000000005
2100477,Alto Alegre do Pindaré,-46.00763,-3.8804
2100501,Alto Parnaíba,-46.21315,-9.508410000000001
2100550,Amapá do Maranhão,-45.94804,-1.67307
2100600,Amarante do Maranhão,-46.58194,-5.27848
2100709,Anajatuba,-44.59022,-3.25046
2100808,Anapurus,-43.10794,-3.5438699999999996
2100832,Apicum-Açu,-45.03001,-1.52616
2100873,Araguanã,-45.78733,-3.0791
2100907,Araioses,-42.01713,-2.97304
2100956,Arame,-45.94597,-5.02771
2101004,Arari,-44.72737,-3.53338
2101103,Axixá,-44.10328,-2.81987
2101202,Bacabal,-44.75802,-4.17103
2101251,Bacabeira,-44.367329999999995,-2.93296
2101301,Bacuri,-45.1583,-1.6859400000000002
2101350,Bacurituba,-44.63261,-2.69085
2101400,Balsas,-46.342729999999996,-8.23762
2101509,Barão de Grajaú,-43.18813,-6.5928
2101608,Barra do Corda,-45.18333,-5.50429
2101707,Barreirinhas,-42.91131,-2.84124
2101772,Bela Vista do Maranhão,-45.26595,-3.7578300000000002
2101731,Belágua,-43.46233,-3.10133
2101806,Benedito Leite,-44.56828,-7.12033
2101905,Bequimão,-44.78443,-2.4295400000000003
2101939,Bernardo do Mearim,-44.68825,-4.6795599999999995
2101970,Boa Vista do Gurupi,-46.17855,-1.7629700000000001
2102002,Bom Jardim,-46.41813,-3.90024
2102036,Bom Jesus das Selvas,-46.68886,-4.6007
2102077,Bom Lugar,-45.020959999999995,-4.34652
2102101,Brejo,-42.82846,-3.6871400000000003
2102150,Brejo de Areia,-45.650059999999996,-4.3651
2102200,Buriti,-43.00176,-3.9003699999999997
2102309,Buriti Bravo,-43.83051,-5.7891699999999995
2102325,Buriticupu,-46.3424,-4.49375
2102358,Buritirana,-47.06138,-5.51795
2102374,Cachoeira Grande,-43.93132,-3.12007
2102408,Cajapió,-44.57287,-2.86374
